X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
2.02163410158909,3.41700232830863,3.20357519799112,4.67438104843864,7.8451962012623,4.47465183313127,1.65253972764236,3.19217479860078,7.09279620435464,2.88224241641096
2.6346540006842,4.98963692831508,3.5485222717783,5.16724905939,7.52724110202187,5.15579901208342,2.30356861665974,3.65285349778105,7.51841151781928,3.04662441475998
2.16185262278823,4.36974751497561,3.42375356811379,5.07679509280629,7.4321896309083,4.9555708228754,3.00084081235666,4.44269684776376,6.69031751678407,3.35082174844085
2.61183297801973,5.05885489799426,3.43886984564833,5.14523975845945,7.38189878014194,5.00556604346053,3.08440151815846,4.54197636964531,6.76136589736582,3.38859099423765
2.29652928655416,2.65278643617659,3.39478997005296,4.93570185990331,7.5724314880264,4.85796804150812,2.83465620148571,4.22169226301093,6.09814535784774,3.19783612375927
2.26509380581139,4.40138784922818,3.44686360771141,4.96015187120543,7.40186891676371,4.98719044303085,4.36353764426521,4.37102652955235,6.76636155688021,3.27359724313208
2.77894388727506,5.06252765641767,3.46177243544345,5.02678546712655,7.35398825628833,5.03570223762158,4.44674495509774,4.45218670376043,6.84733525826757,3.30476298329671
2.14429156464865,2.7963067850822,3.41872939373838,4.8263104236426,7.53245538518378,4.89552291379633,4.19875259849983,4.22248503400023,6.13450324871904,3.14702820179822
2.32762860761884,5.37421925885484,3.45955675129738,4.98719659855431,7.3104488495324,5.06205186388456,4.6337437946406,4.54268306138451,6.78897761108672,3.42383723787979
2.58006792793177,4.28113252512026,3.43126358593393,4.88635347251413,7.40041859043447,4.9824731083905,4.5171201448852,4.32007733628523,6.79346373933651,3.28595844721333
2.27308549105375,1.59645308408701,3.3643683115945,4.63064792493289,7.61260519537369,4.78614870668411,4.21203523923851,3.85292814458192,6.68636706096539,3.01900856806666
2.20422804803855,2.81518280565919,3.41382839959445,4.75573564971169,7.52313748975294,4.92133506040392,2.7567325547268,4.26080989801996,6.10556189978695,3.27889636889777
2.55917155900933,4.28559761200895,3.43757017925046,4.87877759185192,7.40577828113581,5.00314078704542,2.91049096850101,4.36824205861796,6.76259975742658,3.37209675392245
2.45276974166563,4.36431900681046,3.4415477139625,4.88594993490886,7.39737820394161,5.01003418949447,2.92081450306134,4.37311984897174,6.75726535236246,3.39226069449988
2.26946524359245,3.5465986376654,3.45730067944099,5.16197742801386,7.24731300960941,5.14215273493361,1.88113336242729,3.91494818076137,6.69201398784925,3.24875144625083
3.56447291544505,4.51908670852087,3.59234873604813,4.63484724661719,7.52610634484369,5.13758124351244,1.17988451655681,5.02298981966957,6.52707827743853,3.63341711074249
1.85407913806345,2.8788082470614,3.37737342878654,4.96599145093623,7.35124859552456,4.95257507513312,1.59303432927162,5.25620929689014,5.82878821662047,3.72508116573207
