"TEACH","CURRIC","FACULTY","INFRA","LIBRARY","IT","SUPPORT"
5.89859224411029,2.32610722605933,4.12422244400343,5.89550154708698,4.03999338090998,5.20798980763585,4.8756246527082
3.30272344243647,1.75298953293397,4.49751491313408,6.00755876680349,3.08142609577018,3.5865059063051,3.44467848548173
7.80176353559696,5.48487714450667,4.78318395265219,4.54649294232924,1.71667027771793,1.51148320741269,2.28672629938093
4.91774193516103,6.93788209800541,6.92200043388643,2.21489006823286,4.12250057130953,4.05999065671287,4.43666852538724
6.47000300164619,5.24352624507552,4.17062266707996,7.47401617032616,5.9725143320317,5.52013075873271,4.76268155430001
4.30953922653991,4.35194053576077,4.15871752119622,3.9678690073142,5.65572425464429,4.29062892065976,4.84769030405915
8.05341122168217,9.34377983568068,4.93175024664386,6.08685183808324,3.63046712650823,4.33006053388724,5.41708443866913
9.26519469408505,6.30383666995362,8.02599151465809,5.3817668618829,6.98510112387064,4.81849776018893,4.94933675064566
3.75556882679136,3.57842663565326,4.22552716883035,2.60011300695624,3.65118760988992,6.02708714356845,4.2325927611448
4.77406243711137,6.89594484544474,5.37881120677151,3.47820380988664,4.80494226801294,5.30308638667133,4.66359609958491
3.56268650863286,5.75325874193516,5.41922228900106,2.78396793527015,0,0,0.515525321366292
4.55154777989238,4.46877329928109,5.94298786667826,0.947275046674452,1.07470551187288,4.1357788836184,5.02541276393468
4.75214737955334,5.20989951481316,1.45895327442434,5.21428603334548,5.03515576198156,4.07509896317827,2.7064618438269
7.0534489239617,8.57680400676105,5.37129991590085,2.03433121655098,3.38838993444786,1.71936335027694,5.24552820378697
5.82776445106834,6.40233578902332,9.50877523956175,6.00834149382701,6.86341680326497,10,8.84487452691102
2.19738947830941,3.4201741874845,1.50771443525535,7.55499244302663,4.93848632846418,3.22831493798773,7.23120936073917
2.67077787285768,4.51866155975219,2.37824471690226,4.67798534654245,2.44262224343126,2.19178015907392,2.80329465017482
3.44104096527353,4.62650911192593,3.28758269863525,4.38286268374218,4.28856403784752,4.27517074550791,3.69046411220715
4.49587247093569,4.07886073447596,5.47074513567629,5.82972065466805,5.68215710819241,6.03677560864897,5.59610713724009
7.03170713712884,6.49676057504497,5.1005415337663,5.01447816143773,5.49829887113157,4.98102399822009,4.56994197322804
4.73414865643429,4.83302135204041,4.63787956198918,2.57860411718103,2.71167267057301,3.17536577882374,7.40236992206551
0.281949102520409,0,2.04186032505742,4.15754395570079,5.25912880848869,0.998301468883132,3.83551185094889
5.81025986126878,3.67598141395713,3.76782675421465,5.71906455422846,6.99838641001627,6.04982593431423,5.3576515434881
6.4763934769227,4.56358193096217,4.68978359119848,3.65774720085451,6.23145402309538,5.09041909239689,3.47024117370054
2.02869877105212,6.3394305584921,5.40297657611491,5.06565573254788,4.76894123124496,5.1027175243997,5.19186668865126
5.07000419811879,3.96481392231927,4.77061462448397,5.76019286841075,6.26794945136824,8.65937699729208,7.36940930335248
5.58918350690833,3.47761448072222,2.98764034554429,0.273856494907993,2.86159841416599,0.333351029096276,1.03714261137364
8.40546054018339,9.70896320394372,10,5.86436865100877,5.40494565354032,6.84475613973061,7.89874548009882
6.50709450161907,7.48824540438699,6.97859931555209,6.36920837361043,4.05682288348771,4.20248240289992,5.64396372830967
6.85462100473722,8.57203842749404,6.19662058435194,6.38131242312066,7.01749826313414,6.64135907225322,5.62677287031085
4.24792274225495,4.98227302567323,4.97325293700042,3.70945763352824,6.52407974164742,3.85499892672318,5.26583046960821
6.87996533072093,3.87467395128739,6.4892714090351,7.56811428080473,6.71451650629656,4.22769055777639,3.62885908517724
2.91297862578675,4.22859443733766,4.223369162173,5.78512069406636,6.24912257241575,6.84465908207177,5.5700526597746
5.48950412818347,5.22284634020124,5.00763159104803,4.6245596840253,3.77077505840846,2.94949580948353,7.2094790340283
6.17298491833462,5.87817848664777,4.83246238130204,3.74072899441422,4.89673243974365,6.15538129328817,2.44564074608741
1.31543951249613,3.53028124689097,4.41390023448019,4.27996205417214,2.99877813091999,3.87364191244885,5.17297967111088
2.9518093471838,4.16024560663254,4.6163475970943,6.61887985938079,2.99378037554076,2.93628541425298,5.32857744442984
5.32445084110548,6.09168150526159,3.13957949854311,6.79560841150601,6.28445850857624,3.15545688572256,0.986286239031897
0.995700605825733,2.11304627679145,3.62200206655204,5.0875773373955,5.58804126626855,5.30338707927462,3.30681163419136
4.19551052701009,4.83076222136892,7.45315437956572,3.10791073843173,0.299752719753643,3.40113580974631,2.88779510035751
4.1314569210761,5.24857376389949,3.00336718259813,5.09837061231007,3.61426053784329,4.4855281268311,2.88044719306375
5.8151594011491,7.13722942221185,4.56170211959434,7.33636260975846,6.08215000243456,7.8874882674988,6.82984541628367
