"valor_reparo","dias_para_reportar","qt_sinistros_12m","ratio_reparo_vs_fipe","dist_evento_resid","mudancas_contato_6m","classe"
4906.92654907767,6.9491522985964,2,0.168781757644925,8.34630642669661,0,"Regular"
9680.5363189572,6.19752260106634,1,0.50241680230822,24.462514253422,2,"Regular"
5055.33114371862,5.31946767162128,1,0.538041485591495,29.220517671632,0,"Regular"
8929.23726901389,6.93397717601214,0,0.146829851864828,19.1106573567922,1,"Regular"
11343.584610823,4.93218904098074,2,0.314637448295837,17.4943450886424,1,"Regular"
15680.7413774872,18.9819818610302,1,0.53961718547709,37.4815322847772,2,"Regular"
11068.5298963638,7.98293952170455,1,0.164755330812714,60.9096594742031,0,"Regular"
9447.85748214268,11.5509023968707,1,0.680232531093129,25.7022922287184,1,"Regular"
8618.12343042737,5.09693209145086,0,0.336947753298342,21.2091195578421,0,"Regular"
8406.87371695008,9.02115095147012,2,0.300710397607268,16.9410733753525,0,"Regular"
7837.06221314999,4.44358107578838,0,0.933767018622231,56.0851644370092,0,"Regular"
6963.21913128736,7.36415236657961,2,0.575861880728038,22.7297866824809,1,"Regular"
7175.750152358,5.98977379981872,0,0.736540052362597,26.3169804586921,1,"Regular"
9727.44578628193,5.40481207014025,1,0.694210874785238,26.7911836551309,0,"Regular"
11887.2783022392,13.0891620990331,1,0.857113063966407,73.6548353420152,2,"Regular"
4453.65751563892,6.35056914619427,0,0.292372861917735,20.7728561881006,0,"Regular"
8899.23181016248,6.40228449389975,0,0.405573642686878,18.546540061168,0,"Regular"
4003.54229505302,6.21636316696901,0,0.848297592669212,24.4162314221442,1,"Regular"
7060.68645538087,13.5605509144911,1,0.467463599629965,25.4591845640802,1,"Regular"
9072.19585497207,5.87810716474798,0,0.320290683867676,11.1752227606739,0,"Regular"
9944.52465831339,4.18105555484712,0,0.263586698167216,37.8612210594043,1,"Regular"
7731.77969009068,4.87566168926306,1,0.343196701751079,27.3680326851239,1,"Regular"
10055.0362958207,16.8880127050113,2,0.358149940432602,25.6171001371368,0,"Regular"
7325.56752811968,3.62899072082265,0,0.513857761824421,11.5974702273823,0,"Regular"
7791.94952128853,5.42594098661375,1,0.68290297314287,14.2611278196399,0,"Regular"
4501.16959178274,5.20733574625457,0,0.268829447990261,4.77864439261537,0,"Regular"
5085.48762175983,2.8251701400482,1,0.177344489343108,17.9782583008954,0,"Regular"
